"Product Id","Product Type","Product Nme",Sku,Količina,Cena
29,simple,"Samostoječi sušilec ECO za 45 steklenic",mp-st-ss45,0,"11,99 €"
32,simple,"Lonec 33l za kuhanje piva",mp-op-l33x,0,"61,07 €"
36,simple,"Sterilizator za steklenice AVVINATORE",mp-cl-sta,0,"11,99 €"
38,simple,"Jodova tinktura",mp-me-it,0,"8,00 €"
39,simple,"Uporaba mlinčka za mletje na kg",mp-os-nm,0,"1,00 €"
61,simple,"Ojačana cev 8/14mm - Corny (Cornellious) keg tm",mp-ck-oc814,0,"1,99 €"
65,simple,"Pipca kovinska - Corny (Cornellious) keg",mp-ck-pik,0,"49,99 €"
73,simple,"Pivovarske kvasovke Lallemand LalBrew® BRY-97, 11g",mp-by-lbry97,0,"3,99 €"
75,simple,"Hmelj CHINOOK T90 100g",mp-ho-chin,0,"5,45 €"
77,simple,"Mattmill dvojno dno 50l (fi 397mm)",mp-mm-pdd050,0,"66,15 €"
78,simple,"Čistilo in sterilizator - Chemipro San 100ml",mp-cl-cs0100,0,"7,99 €"
79,simple,"Zlati kronski zamaški 100 kom",mp-st-kz100,0,"1,59 €"
83,simple,"Hmelj Hallertau SAPHIR T90 100g",mp-ho-saph,0,"2,99 €"
85,simple,"Pivovarske kvasovke Lallemand LalBrew® Belle Saison, 11g, rok 12/2023",mp-by-lbs,0,"3,99 €"
86,simple,"Pivovarske kvasovke Lallemand LalBrew® Abbaye, 11g",mp-by-lab,0,"3,77 €"
99,simple,"Pivovarske kvasovke Lallemand LalBrew® Nottingham, 11g",mp-by-lno,0,"3,99 €"
101,simple,"CO2 jeklenka 2kg  - Corny (Cornellious) keg",mp-ck-bco2v,0,"109,49 €"
103,simple,"Špirala - Mattmill Läuterhexe/Lauterhelix 1000",mp-mm-lh1000,0,"29,90 €"
108,simple,"Zapirač za steklenice Colt",mp-st-colt,0,"21,99 €"
110,simple,"Stojalo za plastični konični vrelnik FastFerment ",mp-ff-ff30s,0,"39,99 €"
117,simple,"Mlečna kislina (80%) 100ml",mp-ad-la0100,0,"6,99 €"
118,simple,"Zbiralna posoda za plastični konični vrelnik FastFerment ",mp-ff-cb,0,"25,99 €"
123,simple,"Hmelj SUMMIT T90 100g",mp-ho-summ,0,"4,10 €"
124,simple,"Lonec 50l za kuhanje piva",mp-op-l50x,0,"79,35 €"
125,simple,"Grainfather G30",mp-gf-gfg30,0,"748,92 €"
